2, 2850, Note_on_c, 0, 77, 0
2, 2880, Lyric_t, "gain "
2, 2880, Lyric_t, ""
2, 2880, Lyric_t, "\015"
2, 2880, Note_on_c, 0, 77, 98
2, 2890, Note_on_c, 0, 77, 0
2, 3080, Lyric_t, "The "
2, 3080, Note_on_c, 0, 77, 98
2, 3090, Note_on_c, 0, 77, 0
2, 3240, Lyric_t, "skies "
2, 3240, Note_on_c, 0, 77, 102
2, 3250, Note_on_c, 0, 77, 0
2, 3320, Lyric_t, "a"
2, 3320, Note_on_c, 0, 77, 89
2, 3330, Note_on_c, 0, 77, 0
2, 3360, Lyric_t, "bove "
2, 3360, Lyric_t, ""
2, 3360, Lyric_t, "\015"
2, 3360, Note_on_c, 0, 77, 93
2, 3370, Note_on_c, 0, 77, 0
2, 3520, Lyric_t, "are "
2, 3520, Note_on_c, 0, 77, 102
2, 3530, Note_on_c, 0, 77, 0
2, 3720, Lyric_t, "clear "
2, 3720, Note_on_c, 0, 77, 102
2, 3730, Note_on_c, 0, 77, 0
2, 3800, Lyric_t, "a"
2, 3800, Note_on_c, 0, 77, 72
2, 3810, Note_on_c, 0, 77, 0
2, 3840, Lyric_t, "gain "
2, 3840, Lyric_t, ""
2, 3840, Lyric_t, "\015"
2, 3840, Note_on_c, 0, 77, 80
2, 3850, Note_on_c, 0, 77, 0
2, 4000, Lyric_t, "Let "
2, 4000, Note_on_c, 0, 77, 102
2, 4010, Note_on_c, 0, 77, 0
2, 4040, Lyric_t, "us "
2, 4040, Note_on_c, 0, 77, 113
2, 4050, Note_on_c, 0, 77, 0
2, 4080, Lyric_t, "sing "
2, 4080, Note_on_c, 0, 77, 93
2, 4090, Note_on_c, 0, 77, 0
2, 4280, Lyric_t, "a "
2, 4280, Note_on_c, 0, 77, 98
2, 4290, Note_on_c, 0, 77, 0
2, 4320, Lyric_t, "song "
2, 4320, Lyric_t, ""
2, 4320, Lyric_t, "\015"
2, 4320, Note_on_c, 0, 77, 93
2, 4330, Note_on_c, 0, 77, 0
2, 4480, Lyric_t, "of "
2, 4480, Note_on_c, 0, 77, 102
2, 4490, Note_on_c, 0, 77, 0
2, 4680, Lyric_t, "cheer "
2, 4680, Note_on_c, 0, 77, 102
2, 4690, Note_on_c, 0, 77, 0
2, 4760, Lyric_t, "a"
2, 4760, Note_on_c, 0, 77, 80
2, 4770, Note_on_c, 0, 77, 0
2, 4800, Lyric_t, "gain "
2, 4800, Lyric_t, ""
2, 4800, Lyric_t, "\015"
2, 4800, Note_on_c, 0, 77, 98
2, 4810, Note_on_c, 0, 77, 0
2, 4920, Lyric_t, "Hap"
2, 4920, Note_on_c, 0, 77, 113
2, 4930, Note_on_c, 0, 77, 0
2, 5000, Lyric_t, "py "
2, 5000, Note_on_c, 0, 77, 89
2, 5010, Note_on_c, 0, 77, 0
2, 5040, Lyric_t, "Days "
2, 5040, Lyric_t, ""
2, 5040, Lyric_t, "\015"
2, 5040, Note_on_c, 0, 77, 102
2, 5050, Note_on_c, 0, 77, 0
2, 5160, Lyric_t, "Are "
2, 5160, Note_on_c, 0, 77, 107
2, 5170, Note_on_c, 0, 77, 0
2, 5280, Lyric_t, "Here "
2, 5280, Note_on_c, 0, 77, 102
2, 5290, Note_on_c, 0, 77, 0
2, 5400, Lyric_t, "A"
