2, 6629, Note_on_c, 3, 61, 105
2, 6661, Note_on_c, 3, 61, 0
2, 6719, Lyric_t, "They "
2, 6719, Note_on_c, 3, 65, 97
2, 6747, Note_on_c, 3, 65, 0
2, 6751, Lyric_t, "ain't "
2, 6751, Note_on_c, 3, 68, 107
2, 6779, Note_on_c, 3, 68, 0
2, 6779, Lyric_t, "nev"
2, 6779, Note_on_c, 3, 68, 100
2, 6807, Note_on_c, 3, 68, 0
2, 6810, Lyric_t, "er "
2, 6810, Note_on_c, 3, 65, 108
2, 6838, Note_on_c, 3, 65, 0
2, 6839, Lyric_t, "seen "
2, 6839, Note_on_c, 3, 68, 111
2, 6897, Note_on_c, 3, 68, 0
2, 6900, Lyric_t, "noth"
2, 6900, Note_on_c, 3, 68, 99
2, 6928, Note_on_c, 3, 68, 0
2, 6931, Lyric_t, "ing "
2, 6931, Note_on_c, 3, 70, 98
2, 6959, Note_on_c, 3, 70, 0
2, 6959, Lyric_t, "quite "
2, 6959, Note_on_c, 3, 63, 111
2, 7014, Note_on_c, 3, 63, 0
2, 7019, Lyric_t, "like "
2, 7019, Note_on_c, 3, 61, 107
2, 7072, Note_on_c, 3, 61, 0
2, 7079, Lyric_t, "you "
2, 7079, Lyric_t, "\015"
2, 7079, Note_on_c, 3, 63, 105
2, 7163, Note_on_c, 3, 63, 0
2, 7171, Lyric_t, "Long "
2, 7171, Note_on_c, 3, 65, 110
2, 7227, Note_on_c, 3, 65, 0
2, 7231, Lyric_t, "ste"
2, 7231, Note_on_c, 3, 68, 101
2, 7289, Note_on_c, 3, 68, 0
2, 7291, Lyric_t, "m "
2, 7291, Note_on_c, 3, 65, 99
2, 7319, Note_on_c, 3, 65, 0
2, 7321, Lyric_t, "legs "
2, 7321, Note_on_c, 3, 68, 110
2, 7372, Note_on_c, 3, 68, 0
2, 7379, Lyric_t, "in "
2, 7379, Note_on_c, 3, 68, 103
2, 7407, Note_on_c, 3, 68, 0
2, 7409, Lyric_t, "your "
2, 7409, Note_on_c, 3, 70, 105
2, 7437, Note_on_c, 3, 70, 0
2, 7439, Lyric_t, "cow"
2, 7439, Note_on_c, 3, 63, 105
2, 7497, Note_on_c, 3, 63, 0
2, 7499, Lyric_t, "boy "
2, 7499, Note_on_c, 3, 61, 103
2, 7551, Note_on_c, 3, 61, 0
2, 7559, Lyric_t, "boots "
2, 7559, Lyric_t, "\015"
2, 7559, Note_on_c, 3, 63, 105
2, 7636, Note_on_c, 3, 63, 0
2, 7651, Lyric_t, "Throw"
2, 7651, Note_on_c, 3, 63, 105
2, 7711, Lyric_t, "ing "
